title,blogger,postdate,link,brand_candidates,brand_matched_keywords,product_category_candidates,product_category_matched_keywords,mapping_note
삼척 바다 펜션 시소소 아기 데려가기 전 필독!,쩡이 노리터,20260505,https://blog.naver.com/zoozoo1913/224275844665,네이버,"{""네이버"": [""네이버""]}",,{},brand_direct_match
아로마티카 티트리 에센셜오일로 긴장 풀고 편안한 잠들기...,상큼한기록,20260505,https://blog.naver.com/snvhzjwv/224272188142,"아로마티카, AROMATICA","{""아로마티카"": [""Aromatica"", ""aromatica"", ""아로마티카""], ""AROMATICA"": [""AROMATICA""]}","티트리 계열, 블렌딩 오일 계열","{""티트리 계열"": [""티트리""], ""블렌딩 오일 계열"": [""수면"", ""숙면"", ""스트레스""]}",brand_direct_match
아로마티카 유기농 네롤리 페이셜 오일 꾸준히 써보니 피부가...,미니멀리즘,20260505,https://blog.naver.com/if2wfy/224272185104,"아로마티카, AROMATICA","{""아로마티카"": [""Aromatica"", ""aromatica"", ""아로마티카""], ""AROMATICA"": [""AROMATICA""]}",,{},brand_direct_match
파나소닉 ES-PV3B 람대쉬 5중날 전기 면도기 팜인 쉐이버,J파워 꿀정보,20260505,https://blog.naver.com/thech512/224272959778,,{},,{},no_brand_or_category_match
아로마티카 바디오일과 돌고래 괄사로 꾸준히 관리한 여름철...,리뷰플래닛,20260505,https://blog.naver.com/vbnvwo/224272185489,"아로마티카, AROMATICA","{""아로마티카"": [""Aromatica"", ""aromatica"", ""아로마티카""], ""AROMATICA"": [""AROMATICA""]}","라벤더 계열, 블렌딩 오일 계열","{""라벤더 계열"": [""라벤더""], ""블렌딩 오일 계열"": [""숙면"", ""스트레스""]}",brand_direct_match
풋편한세상마사지 해운대해변점 커플마사지 만족도 높은 시설...,일상공유시작한다,20260505,https://blog.naver.com/scv0116/224275826390,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
동탄 아로마샵 아로마시티 13년 햇빛 알레르기가 사라진 날...,아로마씨티,20260505,https://blog.naver.com/canation1/224275824746,"도테라, 네이버, 알레","{""도테라"": [""도테라""], ""네이버"": [""네이버""], ""알레"": [""알레""]}","라벤더 계열, 블렌딩 오일 계열","{""라벤더 계열"": [""라벤더""], ""블렌딩 오일 계열"": [""블렌딩"", ""수면""]}",brand_direct_match
올리브베러 내돈내산 쇼핑 | 뭐 사야 할지 모르겠으면 일단...,왕귤네 수납장,20260505,https://blog.naver.com/jamong_baebae/224275818561,"무인양품, 네이버","{""무인양품"": [""무인양품""], ""네이버"": [""네이버""]}",블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""수면"", ""숙면""]}",brand_direct_match
정착한 이유: 계피 스프레이 원액으로 침대 먼지 퇴치의 확실한...,rucounty님의 블로그,20260505,https://blog.naver.com/rucounty/224275820848,알레,"{""알레"": [""알레""]}",,{},brand_direct_match
"베트남 분위기 속 청주 마사지, 사이공뷰티앤마사지...",정겨운 안개 스케치,20260505,https://blog.naver.com/glad_plan6467/224275816589,,{},,{},no_brand_or_category_match
아로마티카 소일베이커 세라믹 페탈 디퓨저로 집에서 요가할 때...,향기로운 외출,20260505,https://blog.naver.com/znfrzuq/224272181199,"아로마티카, AROMATICA","{""아로마티카"": [""Aromatica"", ""aromatica"", ""아로마티카""], ""AROMATICA"": [""AROMATICA""]}",블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_direct_match
✨ 홍대 더뉴스웨디시,오늘의 마사지 지도,20260505,https://blog.naver.com/hanasp620/224275805240,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""수면""]}",brand_not_found_product_category_mapping
다낭 쇼핑 목록 약국 마트 기념프 리스트 정리,날마다 행복하기❤️,20260505,https://blog.naver.com/dandanmomy/224275805619,,{},,{},no_brand_or_category_match
수원 행궁동 이색카페 카페 드 조굑 이색데이트 즐기기좋은...,오늘 하루도 수고했어요 :),20260505,https://blog.naver.com/soomin9512/224275800384,네이버,"{""네이버"": [""네이버""]}",라벤더 계열,"{""라벤더 계열"": [""라벤더""]}",brand_direct_match
"익산출장마사지 홈케어 - 몸이 무거운 날, 사람들이 아로마마사...",gamecenterkid님의 블로그,20260505,https://blog.naver.com/gamecenterkid/224275798054,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
