title,blogger,postdate,link,brand_candidates,brand_matched_keywords,product_category_candidates,product_category_matched_keywords,mapping_note
부평 굴포천역 카페 돈구리카페 데이트 후기 청리단길 분위기...,행냠이의 행복한 세상,20260430,https://blog.naver.com/happyyumyumcat/224270684385,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""음료""]}",brand_not_found_product_category_mapping
26년 4월 28일,기록이 쌓이면,20260430,https://blog.naver.com/wmfru_/224270667978,,{},"히비스커스 계열, 차/티백 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""티""]}",brand_not_found_product_category_mapping
전주 신시가지 신상카페 _ 파우재커피,슈진 blog,20260430,https://blog.naver.com/dysj0429/224270617952,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""아이스티"", ""음료""], ""블렌딩티 계열"": [""블렌딩""]}",brand_not_found_product_category_mapping
근황✌,ദ്ദി˶ˆ꒳ˆ˵),20260430,https://blog.naver.com/skye0n/224270603362,,{},"히비스커스 계열, 차/티백 계열, 다이어트/붓기 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""다이어트/붓기 계열"": [""다이어트""], ""아이스티/음료 계열"": [""음료""]}",brand_not_found_product_category_mapping
미국 프리미엄 티브랜드 argo tea | 티아이 콜드브루...,사서로운 일상,20260430,https://blog.naver.com/lib_rarian/224270570183,,{},"히비스커스 계열, 차/티백 계열, 다이어트/붓기 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""다이어트/붓기 계열"": [""붓기""], ""아이스티/음료 계열"": [""에이드"", ""음료""], ""블렌딩티 계열"": [""블렌딩""]}",brand_not_found_product_category_mapping
"기장추가금 없는 동남지구 미용실, 하루헤어",여름이네 소소한 일상,20260430,https://blog.naver.com/yeoreum_bichon/224270563255,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""음료""]}",brand_not_found_product_category_mapping
홍대 대형카페 채비스테이 20 홍대점 카페 BOON...,용디로그 : 일상기록 ଘ(੭*ˊᵕˋ)੭*,20260430,https://blog.naver.com/hongstar105/224270081031,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""음료""]}",brand_not_found_product_category_mapping
효창공원앞역카페 스너그 용산점 | 경의선숲길 힐링카페,웅삐의 Blog.,20260430,https://blog.naver.com/eunbbinii/224270533313,,{},"히비스커스 계열, 허브티 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""허브티 계열"": [""허브티""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""음료""], ""블렌딩티 계열"": [""베리""]}",brand_not_found_product_category_mapping
날씨 풀림과 동시에 저도 댕댕이가 되어버렸어요_5월이 오기전...,photo@potato.,20260430,https://blog.naver.com/didgml1301/224270525844,"티랑, 티타임","{""티랑"": [""티랑""], ""티타임"": [""티타임""]}","히비스커스 계열, 차/티백 계열, 항산화/비타민 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""항산화/비타민 계열"": [""비타민""], ""아이스티/음료 계열"": [""음료""]}",brand_direct_match
프랑스 전통 방식으로 구운 기장 크레페 맛집 딸기두바이크레페...,일상의 소소한 행복일기,20260430,https://blog.naver.com/diana5246/224270522598,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""아이스티"", ""에이드"", ""음료""], ""블렌딩티 계열"": [""베리""]}",brand_not_found_product_category_mapping
"햇살 가득한 주택개조 감성, 아이스크림 라떼가 맛있는...",반짝반짝 빛나는,20260430,https://blog.naver.com/jooyeoni/224270515814,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""ade"", ""ice tea"", ""아이스티"", ""에이드"", ""음료""], ""블렌딩티 계열"": [""베리""]}",brand_not_found_product_category_mapping
개성주악으로 유명한 파주 자연 카페 연리희재 방문 후기,일상을 기록하는 곳:),20260430,https://blog.naver.com/hayongio/224270512360,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""ade"", ""아이스티"", ""에이드"", ""음료""], ""블렌딩티 계열"": [""blend"", ""베리""]}",brand_not_found_product_category_mapping
아르고티 티아이 콜드브루티 커피 대신 찾은 제로칼로리 음료,또 보고 싶은 리뷰,20260430,https://blog.naver.com/hyoggi/224270499099,티타임,"{""티타임"": [""티타임""]}","히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""에이드"", ""음료""], ""블렌딩티 계열"": [""블렌딩""]}",brand_direct_match
"블렌딩 티백 주문제작 — 원료 조합부터 맛 설계까지, ODM으로...",홈앤푸드,20260430,https://blog.naver.com/spearmint000/224270494130,테스,"{""테스"": [""테스""]}","히비스커스 계열, 차/티백 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""침출차"", ""티"", ""티백""], ""블렌딩티 계열"": [""로즈힙"", ""블렌딩""]}",brand_direct_match
[대구 수성못 24시 카페 / 주차 가능 대형카페] HANDS COFFEE...,"""지지생활 0v0",20260430,https://blog.naver.com/jiji2388/224270465780,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""음료""]}",brand_not_found_product_category_mapping
다이어트기록 마운자로 시작 2.5ml 1주차,사랑스런 일상,20260430,https://blog.naver.com/dailylife1009/224270451812,,{},"히비스커스 계열, 차/티백 계열, 다이어트/붓기 계열, 아이스티/음료 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""다이어트/붓기 계열"": [""다이어트""], ""아이스티/음료 계열"": [""음료""]}",brand_not_found_product_category_mapping
