brand,shopping_mention_count,source_queries,source_fields
말레트,5,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
스타쉬,5,"히비스커스 티백, 히비스커스 허브티",brand
아일레스,5,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
자연한재,5,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
차전식품,5,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
타바론,5,"hibiscus tea, 히비스커스 허브티, 히비스커스티","brand, maker"
티칸네,5,히비스커스 허브티,"brand, maker"
FEEL GOOD ORGANICS,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
J.J.DARBOVEN,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
WOLLENHAUPT,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
가고파힐링푸드,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
곰곰,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
나인엔도씨,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
대한다업,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
더연두,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
로쎄,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
루피시아,4,히비스커스 허브티,"brand, maker"
모닝풀,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
삼주실업,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
스키니퓨리티,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
슬룸,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
연고농장,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
오늘좋은,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
오르니만스,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
웰빙,4,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
제이슨,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
착한농부,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
천지가약초,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
커피바바,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
코에삼,4,히비스커스 허브티,"brand, maker"
클레이튼티,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
티내다,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
티엘리,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
티컬렉션,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
파람,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
푸드공작소,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
퓨어마인드컴퍼니,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
헬스포,4,"히비스커스 차, 히비스커스 티백, 히비스커스 허브티",maker
힐링앤팜,4,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
JAJU,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
고미네,3,히비스커스 티백,brand
그린약초,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
김오곤,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
네이처샵,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
다원바이오,3,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
데오슈퍼팜,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
루이보스코리아,3,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
바라기,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
빅토리아,3,히비스커스 허브티,brand
산들약초,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
삼원,3,히비스커스 티백,maker
서울팩토리,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
소울네이처푸드,3,"hibiscus tea, 히비스커스 티백, 히비스커스티",maker
순하당,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
스완슨,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
신비인터내셔널,3,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
에이미원더,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
예손약초,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
오피스넥스,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
올가홀푸드,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
이레,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
이레에프에스,3,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
자연애향,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
지니트레저,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
참굿즈,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
티즌,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
티프렌,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
푸드올로지,3,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
풀무원,3,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
